Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
Frame Townhomes In Langley,82 Ave & 202 St,"Starting from $604,000",Townhouse,Hayer Builders Group,46,,,,"3-4 BED homes, ranging from 1,302 - 1,525 sf",,Willoughby Community Park,"Shops, restaurants, grocers, cafés, entertainment & conveniences of Willoughby",2-car garages,Yes,
Framework by Porte - A New Condo Development in Vancouver's Chinatown,231 East Pender St.,"$264,000+",,Porte,,,8 storey building,balconies with each unit,,,,,parking included,,
Fraser Commons by Serracan on South Vancouver,747 SE Marine Dr,,"Condos,townhouse",Serracan,368 condominiums +10 townhouse,,5-22,central park and roof garden flanked by four residential buildings,,,,"Shops, dining, schools, and parks",345,,
French Vancouver developed by Coromandel,7871 French St,,Townhomes,Coromandel,9,Wood frame,3,,,,Shannon Park,McCleery Golf course & Southlands Riding Club,9,Yes,
Fulton House - Brentwood,"2338 Madison Avenue, Burnaby","1's in the high 300s, 2's starting low 500's",condos,Polygon,303,concrete,41,,,,,"shopping, entertainment, nature, skytrain",,,
"GABRIOLA PARK by Royale Properties- Only 2 homes remain in Phase 3, with a Fall 2017 move in date.","20622 80 Ave, Langley",TBA - PreSale this SUMMER,Townhomes,Royale Properties,-,Wood frame,3 Storey Plans,-,,,"Langley Events Centre, Willoughby Elementary","Shopping at Willoughby Centre, parks, trails, community centre, restaurants",-,-,
GEORGE by Marcon - Port Moody,"3010 George Street, Port Moody",TBD,Condos/Townhomes,Marcon,252,wood,6,,,,Rocky Point,"transit, shopping, breweries",402,,
Gala at Parc Central in Langley,20356 72B Avenue,,Condo,Essence Properties,75,,4,24/7 homeowner care department to respond to your urgent needs,"The Collective Lounge: Multi-purpose area with kitchen, bathroom, billiards table, lounge with TV, & patio.",,Willoughby Community Park,,Underground Parking,,
Galleria Concord Gardens,No.3 Road & Capstan Way,,Condo and townhomes,Concord Pacific,157 condo units + 8 townhomes,,14,A total of 5 towers with private gardens on podium level,"36,000 sq. ft. retail and commercial services",,2-acre neighbourhood park,"Parks, Canada Line Skytrain, shops & restaurants.",,,
Garden Drive By Porte | East Vancouver,Garden & East Broadway,,Condo,Porte Homes,109,,2 X 6-storey,,"Studio, 1- , 2- & 3-BED homes, ranging from 500 - 1,223 sf",,Trout Lake Park,"Elementary/secondary schools, Commercial drive shops/restaurants/services, Trout Lake Park & Community Centre",2 levels of underground parking,,
Gardner by Mosaic Homes | Abbotsford,Livingston Ave & Maclure Rd,,Townhouse,Mosaic Homes,,,,,2- & 3-bedroom homes with modern layouts,,Gardner Park & Gobind Park,"Schools, shopping, restaurants, cafes, bars, recreations activities",Yes,,
Garrison Central in the heart of downtown Chilliwack,Tamihi Way & Garrison Boulevard,"Starting at $439,900",Condo,Diverse Properties,60,,6,,2 & 3 bedroom homes with open-concept floor plans,Mountains & nature,Vedder Park & river trails,"Cheam Leisure Centre, Garrison Village shopping, Twin Rinks Arena, University of the Fraser Valley & elementary/middle schools",1,Available lockers,
Georgetown One Surrey Presale,13645 102 Avenue,,"Studio, 1 and 2 Bedroom condos",Anthem,351,,30,,,,"Holland Park, Hawthorne Rotary Park","SFU University Campus, North Surrey Recreation Centre, Surrey City Hall, Surrey’s newest and largest Public Library and the Central City Shopping Centre",,,
Georgia In Steveston By Anthem,Steveston Hwy & Lassam Rd,,Townhouse,Anthem Properties,43,Woodframe,13 X 2- & 3-storey,,"3- or 4-bedroom layouts up to 1,765 sf + select suites include 1-bed secondary ground level suites",,"London Park, Garry Point Park","Minutes to schools, restaurants, pubs, services & shops; Short drive to Steveston Community Centre & Steveston Harbour; Close to Richmond Centre",2-car garage + visitor parking,Yes,
Gilmore Place By Onni Group,Lougheed Hwy and Gilmore St,"Starting from $592,900",Condos,Onni Group,2000+,Concrete,"43, 51, 65","Opportunity to be part of the newest high density, transit-oriented community in Metro Vancouver","1-, 2- & 3-bedroom homes",North Shore Mountains & downtown Vancouver,Jim Lorimer Park,"Cactus Club Cafe, BCIT, Save on Food, Whole Foods Market, The Keg & more",Underground Parkade,,
Glitz by iFortune in the heart of Richmond,6860 No 3 Rd,TBD,Condos,iFortune,77,,9,,,,Minoru Park,"Richmond Centre, Richmond Public Library","off-street parking for 237 vehicles, consisting of 155 commercial, 82 residential, 15 visitor, and five handicapped spaces",,
Gold House - Metrotown,6377 McKay Avenue,contact us for pricing,Condo/townhomes,Rize Alliance,,concrete,2 x 38 storey,24 hour concierge,,,Central Park,"Skiing, golfing, shopping centre, transit",,,
Grand in Mount Pleasant,138 E 8th Ave,,Condo,Green Oak Development,18,Concrete,6,Smart Home Packages,"European finishing, concrete structure, Italian cabinetry, illuminated facad",Downtown & Mountain Views,"Guelph Park, Jonathan Rogers Park","Artistic community, fine dining restaurants, takeout, vegan specialties and coffee shops",,,
"Green Square Vert | Lower Mission, Kelowna",Mission Springs Drive,"Starting from $279,900",Condos & Townhomes,Corwest Builders & Troika Management Corp,134,Woodframe,6,,1-4 bedroom condos & townhomes,Greenery,Windermere Park,"The beach, multiple trails, playgrounds, shopping, dining & conveniences",Yes,Yes,
Green on Queensbury,708 East 3rd North Vancouver,TBD,Condos & townhomes,Qualex-Landmark,157,wood,4,Steps to a revitalized Moodyville Park,,,Moodyville Park,"shopping, sea bus, ski hill",,,
Grosvenor Pacific Vancouver,"819 Pacific St, Vancouver, BC V6Z 1C3",,,Grosvenor,212,concrete,,,,,,,238 parking 266 bike stalls,,
HERITAGE in Murrayville by Infinity,"22100 FRASER HWY, LANGLEY",,Master-On-Main Townhomes,Infinity Properties,59,Wood frame,,,,,,"Hospital, Golf, Rec Centre",,,
Hadleigh on the Park in Coquitlam,Collins Road & Princeton Ave,,4 bedroom townhouses,Polygon,88,,,"Spa-inspired bathrooms, gourmet kitchens","Engineered stone countertops, premium stainless steel appliances, luxurious soaker tubs",,Pioneer Park,"Coquitlam Town Centre, Shopping, Dining, Recreation",Insulated double-car garage,,
Hamilton on University Crescent | Burnaby,University Crescent & Highland Court,,Condo,Mosaic Homes,115,Concrete,12,Located on SFU Burnaby Campus,"1-3 bedroom suites, ranging from 538 - 1,151 sf",Burrard Inlet,Naheeno Park,Aquatic & Fitness Centre; Burnaby Mountain Conservation Area trails; Nesters Market & High Street shopping; UniverCity Childcare Centre,3 levels of underground parking,1,
Harbour Landing Seaside in Esquimalt | Victoria,Dunsmuir Rd & Garrett Pl,"Starting from $379,900",Condo,GT Mann Contracting,32,,,Waterfront community,"1-3 BED, 1-2 BATH, ranging from 555-1205 sf + Patio ranging from 129-200 sf",City & Water,"Barnard Park, Saxe Point Park","Esquimalt’s village core offers shopping, dining & recreation + Outdoor activities on the water",,,
"Harry Jerome Neighbourhood Lands | Lonsdale, North Vancouver",Lonsdale Avenue and 23rd Street East,,,Darwin Construction,,,,New Harry Jerome Recreation Centre & enhanced/expanded public park,2 high-rises (30-storey & 26-storey) & 4 mid-rises (mix of 5-storey & 6-storey),Spectacular views in all directions,Proposed expansion and renewal of a public park along Lonsdale Avenue,,Underground for 911 vehicles,,
"Haven By Chard In Victoria, BC",Johnson St & Cook St,,Condo,Chard Development,211,,"6-storey, 12-storey",,"Studio, 1-, 2- & 3-bedroom homes",,"Royal Athletic Park, Central Park","North Park Village amenities; Save-On Foods supermarket; Central Middle & Victoria High schools; several local shops, restaurants & cafés",3 levels under ground parking,,
Haven by Boffo Properties in Port Coquitlam,2560 Pitt River Rd,,Townhouse,Boffo Properties Inc,45,,,"A convenient location just off Pitt River Road with direct access to Lougheed Highway, which connects you to the rest of the regions Lower Mainland",,,Gates Park,Short stroll to Central Elementary and Riverside Secondary School,,,
Hawthorne Vancouver by Pennyfarthing,"4988 Cambie St, Vancouver, BC V5Z 2Z5",,Condos,Pennyfarthing,44,Concrete,7,,,,Queen Elizabeth Park,Oakridge Centre shopping,51,"Space for 61 bicycles with 11 lockers and 12 vertical stalls. 34 homes will have in-suite storage, while 13 will have in-room storage.",
Hayden Townhomes - the Newest Project to hit Mount Pleasant,3427 Sophia,,2- & 3-bedroom townhomes,Inhaus Development,16 units,,,Rooftop Decks,,,,Located near the bustling Main Street Corridor,,,
Heather and Seventeenth in West Side Vancouver,711 West 17th Avenue,TBD,Condos,Terra Blanka Development,16,Concrete,4,,,,Heather Park,,2 levels of underground parking,,
Henry - Queen Elizabeth Park - Brought to you by Homei Properties,Cambie Street and 37th Avenue,,Luxury Condos and 2-storey Laneway Townhomes,Homei Properties,48,Concrete,6,White brick and Contemporary Wood Detailing,,Queen Elizabeth Park,Queen Elizabeth Park,"Queen Elizabeth Park itself provides a wealth of activities, views, and diversions. The gardens and restaurant are absolute gems. The golf course and tennis courts cater to an active lifestyle. For those who need more, Hillcrest Community Centre offers additional sports fields, a swimming pool, ice rink, gym, and public library. Nearby shopping is another major advantage of the location.","Parking is planned, of course, but details are being finalized.",Details regarding storage are also being finalized.,
Hensley by Cressey in Burquitlam,430 Westview Street,TBD,Condos,Cressey,272,Concrete,35,Amenity area will be located at the very top of the tower with lounge and games areas,,,,Vancouver Golf CLub,,,
Heritage Cypress | Kitsilano,Cypress Street & W 2nd Avenue,,Townhomes,Formwerks Boutique Properties,6,,,Restored character home,1 X 2-bedroom; 5 X 3-bedroom townhomes,Kits beach/oceanside views,"Kitsilano Beach Park, Vanier Park","Kits beach, 4th Avenue restaurants, shops, services",1 level of underground parking,Underground storage,
"Heron Steveston, Richmond",No 2 Rd & Steveston Hwy,,Townhouse,Enrich Developments,28,,,4 roof-mounted solar panels on each home,3 & 4-BED townhomes,,"Steveston Community Park, London Park","Minutes to downtown, Vancouver; Shopping, schools & conveniences close to home; Parks, trails & other recreation are minutes away",2-car garage + EV charging,Yes,
Highline Metrotown | Burnaby,Sussex & Beresford,"Starting from $529,900",Condo,Thind Properties,327,,53,,"1, 2 & 3 bedroom w/ 9' ceiling height, Miele appliances, Italian finishes, A/C","stunning, expansive city views",Deer Lake Park,"Shops, services & restaurants at Metropolis at Metrotown",Underground parking,,
Holland Park By Townline in the heart of Surrey,13260 Old Yale Road,TBD,"Condos,townhouse",Townline,248,,25,,,overlooking Holland Park,Holland Park,"near SFU’s Surrey Campus, the Central City Shopping Centre",,,
Holland Parkside In Surrey City Centre,King George Blvd & 98A Ave,,Condo & Townhouse,Century Group,"1,022",,"42-, 36-, 19- & 10-storey",,"Stuido, 1, 1+Den, 2 & 2+Den bedroom homes, ranging from 441 - 1,195 sf",,"Holland Park, Bear Creek Park","King George station restaurants & coffee shops; shops, restaurants and services of Surrey Central; Simon Fraser University (Surrey Campus)","Underground parkade - 1,241 stalls",,
Holland Row in North Vancouver,1948 Glenaire Drive,,Townhomes,PC Urban,23,,3,Premier waterfront location on Capilano River,,Capilano River,Klahanie Park,"Shopping mall, dining, schools, and parks",,,
Horizon 21 by Centred Developments,Blue Mountain Street & Roderick Avenue,,,Centred Developments,,Concrete,,,,,Mackin Park,"Near Cineplex Cinemas, Hard Rock Casino & IKEA",4 underground levels,,
Hudson & Singer in Langley,7846 208 Street,,Condo,Tridecca Developments,152,,6,,,,Willoughby Community Park,"Willoughby community, trendy coffee houses, craft breweries, cafes, fine dining and evening entertainment",,,
Hudson Place One in downtown Victoria,777 Herald St,,Condo,Townline,176,,25,Victoria’s tallest buidling,"1-, 2- and 3-bedroom condos, ranging from 453 - 1,242 sf",Panoramic downtown views,Central Park,"Exceptional access to restaurants, shopping, leisure activities of downtown Victoria",6 levels of underground parking,,
Hunter at Lynn Creek Town Centre in North Vancouver,1479 Hunter St,,Condo and Townhouse,Intergulf Development Group,314 condominiums & 12 stacked townhomes,,27- & 16- storey residential tower and 4-storey townhomes,"28,000 sq ft community centre",,,"Seylynn Park, Bridgman Park, Marie Place Park","Moja Coffee, Tim Hortons, Wendy's, Lordco, PetSmart, Canadian Tire, Michaels, Toby's Liquor Store, North Shore Auto Wash and more",472,,
Imperial by Amacon,5025 imperial,,condos/live work townhomes,Amacon,169,concrete,26,concierge,,,"Bonsor, Central park",Metrotown shopping centre,,,
Imperial by T.M. Crest | Surrey,156 St & Mountain View Dr,"starting from $759,900",Townhouse,T.M. Crest,87,,3,,"3-4 BED, ranging from 1,972 – 2,569 sf",Mountains,"Oliver Park, Sunnyside Park","Morgan Crossing/Grandview Corners shops, restaurants, services; Grandview Heights Aquatics Centre; Morgan Creek Golf Course",Double garage,Yes,
"Ironworks Living | Victoria, BC",Chatham & Store,"$275,000 - $440,000",Condo,Le Fevre and Company Property Agents,88,,2 X 5,,"Studio & 1-bedroom condos, ranging from 325 - 571 sf",,North Park,"Victoria’s Old Town district shops, restaurants, galleries, cafés, grocers, breweries & more!","Secure, 2-level underground parkade",,
Irving Living in New Westminster,218 Carnarvon Street,,,Altima Group,28,,6,,,Fraser River,"Albert Crescent Park, Tipperary Park","Dining, Shopping, Schools",,,
Isola by Mortise in Surrey,1711 King George Blvd,,Townhouse,Mortise,57,,,,,,Alderwood Park,"Semiahmoo Shopping Centre, Peninsula Village Mall, Morgan Crossing and Grandview Corners, Southpoint Exchange Mall, Real Canadian Superstore, Ocean Village Farm Market, Ecole Peach Arch Elementary, South Meridian Elementary, White Rock Promenade and more",,,
Italia - A New Boutique Development in Kitsilano,1616 West 7th Avenue,,Condo & Townhouse,Solterra,46,,11,,"43 condos & 4 townhomes, ranging from 1-3 BED",City,Granville Loop Park,"South Granville shops, restaurants & galleries; Granville Island; Arbutus Greenway; West 4th commercial district; Kits Beach & Vanier Park",Yes,Yes,
Ivy on the Park at Wesbrook Village,Birney Ave & Binning Rd,,Condo and Townhouse,Perkins+Will,159 condos,,"22-storey tower, 2-storey & 4-storey stacked townhouses",Walking distance to UBC Farm farmers market,,,Spirit Regional Park,"Keep fit cycling, running, or walking the trails of neighbouring Pacific Spirit Regional Park",308,,
JOIE on Vancouver's Westside,1269 W 8th Ave,,Townhouse,InHaus Developmen,17 market units + 6 rental studios,,3 heritage buildings + 2 x 3-storey infill buildings,,Steps from Broadway commercial corridor,,Charleson Park,Close to False Creek seawall & Granville Island; walking distance to South Granville restaurants & shops,32 vehicle stalls and 32 bicycle spaces.,,
Jasmine at The Gardens in Richmond,10800 Number 5 Road,"Starting from $924,800",Townhomes,Townline,23,,,"6,000-square-foot amenity complex with a state-of-the-art fitness centre",,12 ACRE PARK,,"Shops, dining, schools, and parks",,,
Joyce at Collingwood by Westbank,5050 Joyce St,Pricing TBD.,Condos,Westbank,256,Concrete,30,Rooftop patio with fire pit and lounge area.,,,,,128 parking stalls,Yes,
Jumar in Downtown Squamish,38310 Buckley Ave,,condos & townhouses,LT Wave Holdings,101,,,outdoor adventure capital,,,Rose Park,"Restaurants, entertainment, schools, pharmacies, and more",116,,
